Node Number , Node Position (m) , Temperature (Deg C) 
0,0.0,0.0
1,0.02,1.999999999999982
2,0.04,3.999999999999964
3,0.06,5.999999999999946
4,0.08,7.999999999999929
5,0.1,9.999999999999911
6,0.12,11.999999999999893
7,0.14,13.999999999999874
8,0.16,15.999999999999854
9,0.18,17.999999999999837
10,0.2,19.99999999999982
11,0.22,21.9999999999998
12,0.24,23.99999999999978
13,0.26,25.99999999999976
14,0.28,27.999999999999737
15,0.3,29.999999999999716
16,0.32,31.999999999999698
17,0.34,33.99999999999968
18,0.36,35.99999999999966
19,0.38,37.99999999999964
20,0.4,39.99999999999962
21,0.42,41.999999999999616
22,0.44,43.99999999999961
23,0.46,45.99999999999961
24,0.48,47.99999999999961
25,0.5,49.99999999999961
26,0.52,51.99999999999961
27,0.54,53.99999999999961
28,0.56,55.9999999999996
29,0.58,57.99999999999961
30,0.6,59.99999999999961
31,0.62,61.999999999999616
32,0.64,63.99999999999963
33,0.66,65.99999999999964
34,0.68,67.99999999999966
35,0.7000000000000001,69.99999999999967
36,0.72,71.99999999999969
37,0.74,73.9999999999997
38,0.76,75.9999999999997
39,0.78,77.99999999999972
40,0.8,79.99999999999973
41,0.8200000000000001,81.99999999999976
42,0.84,83.99999999999979
43,0.86,85.99999999999982
44,0.88,87.99999999999986
45,0.9,89.99999999999989
46,0.92,91.99999999999991
47,0.9400000000000001,93.99999999999994
48,0.96,95.99999999999996
49,0.98,97.99999999999997
50,1.0,100.0

